customer_id,customer_name,email,recency_days,frequency,monetary,RFM_Score,segment
2001.0,Eha Aas,eha.aas@telia.ee,33,2,203.92000000000002,7,Potential
2004.0,Jaak Talvik,jaak.talvik@mail.ee,13,2,1198.56,10,Loyal
2005.0,Raivo Koppel,raivo.koppel@yahoo.com,106,4,959.5999999999999,12,Loyal
2006.0,Aili Must,,478,1,327.06,3,Lost
2008.0,Külli Paas,kulli.paas@mail.ee,18,5,1294.32,14,VIP Champions
2009.0,Madis Mitt,madis.mitt@yahoo.com,166,3,2255.21,11,Loyal
2012.0,Merle Kukk,merle.kukk@outlook.com,246,3,841.5,8,Potential
2013.0,Elis Oja,,205,2,364.20000000000005,5,At Risk
2014.0,Rain Kivi,,372,5,1066.15,10,Loyal
2015.0,Grete Rosin,grete.rosin@telia.ee,568,1,123.82,3,Lost
2016.0,Marika Lill,,530,1,664.26,5,At Risk
2017.0,Kadri Vaher,kadri.vaher@telia.ee,152,4,904.65,10,Loyal
2018.0,Marika Nurk,marika.nurk@gmail.com,86,3,1281.17,11,Loyal
2019.0,Heino Tammik,heino.tammik@mail.ee,26,5,1653.15,15,VIP Champions
2020.0,Heli Pärn,heli.parn@telia.ee,39,3,923.9,12,Loyal
2022.0,Liina Mägi,liina.magi@yahoo.com,27,5,814.1700000000001,13,VIP Champions
2023.0,Reet Kivi,reet.kivi@hot.ee,340,1,583.71,4,At Risk
2024.0,Rain Lõhmus,rain.lohmus@outlook.com,187,1,211.35,4,At Risk
2025.0,Väino Lepik,vaino.lepik@gmail.com,12,6,1804.79,15,VIP Champions
2026.0,Kati Mitt,kati.mitt@gmail.com,60,7,1933.66,14,VIP Champions
2027.0,Heli Laas,heli.laas@mail.ee,7,4,1357.05,13,VIP Champions
2028.0,Tiina Saar,tiina.saar@telia.ee,49,3,496.83000000000004,9,Potential
2029.0,Meelis Lill,meelis.lill@gmail.com,220,3,1888.0600000000002,10,Loyal
2030.0,Rein Lill,rein.lill@hot.ee,102,2,2391.13,10,Loyal
2031.0,Ants Kangur,ants.kangur@mail.ee,72,6,2052.0499999999997,14,VIP Champions
2032.0,Tiit Toom,tiit.toom@gmail.com,296,1,215.58,4,At Risk
2033.0,Rein Teder,rein.teder@hot.ee,52,3,950.18,11,Loyal
2034.0,Pille Lepik,pille.lepik@hot.ee,46,5,1431.18,14,VIP Champions
2035.0,Mihkel Pärn,mihkel.parn@gmail.com,329,3,1481.19,9,Potential
2036.0,Sigrid Põld,sigrid.pold@gmail.com,82,2,571.48,7,Potential
2037.0,Lea Veski,lea.veski@telia.ee,2,3,893.3000000000001,11,Loyal
2038.0,Jüri Kask,juri.kask@telia.ee,57,1,1484.2,10,Loyal
2040.0,Liina Lepp,liina.lepp@outlook.com,76,3,453.53999999999996,9,Potential
2041.0,Riina Roots,riina.roots@yahoo.com,578,2,1275.25,6,At Risk
2042.0,Merike Laas,merike.laas@hot.ee,94,2,147.0,6,At Risk
2044.0,Lauri Aas,lauri.aas@outlook.com,49,3,419.37,9,Potential
2046.0,Henri Lepik,henri.lepik@telia.ee,40,7,1422.57,15,VIP Champions
2047.0,Ants Lepp,ants.lepp@yahoo.com,254,1,196.91,4,At Risk
2048.0,Mart Mets,mart.mets@outlook.com,188,2,264.74,4,At Risk
2049.0,Raivo Salu,raivo.salu@yahoo.com,53,4,1364.73,12,Loyal
2050.0,Tiina Toom,,29,3,591.24,10,Loyal
2051.0,Ene Arro,,162,2,142.21,6,At Risk
2052.0,Annika Järv,annika.jarv@hot.ee,144,3,1073.25,10,Loyal
2053.0,Sigrid Vaher,sigrid.vaher@yahoo.com,28,4,1198.6200000000001,13,VIP Champions
2054.0,Aili Veski,aili.veski@mail.ee,219,4,913.91,9,Potential
2055.0,Rain Salu,rain.salu@gmail.com,34,2,494.63,9,Potential
2056.0,Hille Kull,hille.kull@yahoo.com,55,2,152.85,7,Potential
2059.0,Tiina Järv,tiina.jarv@telia.ee,111,4,1044.97,11,Loyal
2061.0,Toomas Rosin,toomas.rosin@gmail.com,623,1,57.08,3,Lost
2062.0,Triin Lill,triin.lill@mail.ee,13,2,387.70000000000005,9,Potential
2063.0,Jüri Roots,juri.roots@gmail.com,332,1,81.48,3,Lost
2064.0,Väino Kuusik,vaino.kuusik@hot.ee,24,4,900.95,12,Loyal
2065.0,Priit Tammik,priit.tammik@telia.ee,162,1,45.21,5,At Risk
2066.0,Lauri Paju,lauri.paju@telia.ee,329,2,351.95000000000005,5,At Risk
2067.0,Marko Pärn,marko.parn@hot.ee,224,3,709.47,8,Potential
2068.0,Ülle Valk,ulle.valk@outlook.com,81,4,783.78,11,Loyal
2069.0,Erkki Luik,erkki.luik@yahoo.com,86,3,1005.76,11,Loyal
2070.0,Pille Rebane,pille.rebane@gmail.com,134,4,905.77,10,Loyal
2071.0,Tarmo Põld,tarmo.pold@outlook.com,92,5,493.20000000000005,11,Loyal
2072.0,Heino Tammik,,528,1,434.08,4,At Risk
2073.0,Madis Roots,madis.roots@mail.ee,343,2,2233.7000000000003,8,Potential
2074.0,Kalev Raud,kalev.raud@hot.ee,468,3,1231.97,8,Potential
2075.0,Piret Lõoke,piret.looke@outlook.com,11,3,581.54,10,Loyal
2076.0,Terje Nurk,terje.nurk@hot.ee,343,1,351.62,4,At Risk
2077.0,Siim Must,siim.must@outlook.com,1,4,1632.05,14,VIP Champions
2078.0,Aili Paas,aili.paas@yahoo.com,511,3,659.35,7,Potential
2079.0,Tiit Talvik,tiit.talvik@gmail.com,102,2,187.20999999999998,7,Potential
2080.0,Tiina Kangur,tiina.kangur@gmail.com,140,3,1063.2,10,Loyal
2081.0,Kaido Lass,kaido.lass@telia.ee,184,3,792.99,8,Potential
2082.0,Kristi Rebane,kristi.rebane@hot.ee,93,2,520.61,8,Potential
2083.0,Heino Kuusk,heino.kuusk@mail.ee,47,1,302.9,6,At Risk
2084.0,Grete Must,grete.must@yahoo.com,23,2,527.21,9,Potential
2085.0,Henri Lill,henri.lill@gmail.com,7,4,606.26,11,Loyal
2087.0,Taavi Sepp,taavi.sepp@telia.ee,268,3,936.1800000000001,9,Potential
2088.0,Pille Paas,,84,1,439.66,7,Potential
2090.0,Taavi Koppel,taavi.koppel@yahoo.com,131,3,935.06,10,Loyal
2091.0,Rasmus Mägi,rasmus.magi@mail.ee,189,2,1216.95,8,Potential
2092.0,Ene Pihl,ene.pihl@telia.ee,257,1,405.04,5,At Risk
2093.0,Merike Luik,merike.luik@gmail.com,374,4,1511.21,10,Loyal
2095.0,Madis Lill,madis.lill@telia.ee,244,5,1055.76,11,Loyal
2096.0,Reet Laas,reet.laas@gmail.com,228,4,1000.87,10,Loyal
2097.0,Kati Aas,kati.aas@telia.ee,65,5,715.54,12,Loyal
2098.0,Karin Rebane,karin.rebane@hot.ee,133,1,225.36,5,At Risk
2099.0,Madis Toom,madis.toom@gmail.com,48,5,1199.12,13,VIP Champions
2100.0,Rein Arro,rein.arro@hot.ee,28,1,80.39,7,Potential
2103.0,Kadri Kivi,kadri.kivi@gmail.com,128,2,312.33000000000004,6,At Risk
2104.0,Sandra Lass,sandra.lass@mail.ee,54,4,1285.72,12,Loyal
2106.0,Arvo Kull,arvo.kull@hot.ee,6,2,581.5899999999999,9,Potential
2107.0,Heino Rosin,,130,3,997.6400000000001,10,Loyal
2108.0,Väino Nurk,vaino.nurk@mail.ee,143,6,2169.41,13,VIP Champions
2109.0,Toomas Männik,toomas.mannik@telia.ee,300,1,121.51,4,At Risk
2110.0,Kristi Talvik,kristi.talvik@outlook.com,31,4,405.04,11,Loyal
2111.0,Urmas Rand,,67,3,1918.08,12,Loyal
2112.0,Madis Salu,,78,3,820.4200000000001,10,Loyal
2113.0,Lea Kangur,lea.kangur@yahoo.com,227,2,189.08,5,At Risk
2114.0,Kristi Lill,kristi.lill@yahoo.com,303,3,1037.37,9,Potential
2115.0,Anu Sild,anu.sild@yahoo.com,196,4,587.24,8,Potential
2117.0,Merike Koppel,merike.koppel@outlook.com,102,4,2215.73,13,VIP Champions
2118.0,Rasmus Sepp,rasmus.sepp@gmail.com,44,3,611.11,9,Potential
2119.0,Meelis Ilves,meelis.ilves@gmail.com,444,5,1121.02,10,Loyal
2120.0,Grete Kukk,grete.kukk@hot.ee,240,3,805.1300000000001,8,Potential
2121.0,Katrin Roots,katrin.roots@gmail.com,190,2,302.84000000000003,5,At Risk
2122.0,Sander Nõmm,sander.nomm@mail.ee,549,1,16.62,3,Lost
2123.0,Peeter Veski,peeter.veski@outlook.com,48,2,832.59,9,Potential
